sl_no,gender,ssc_p,inter_p,btech_p,spcial_t,etest_p,status,salary
201,M,69,60,65,Comm&Mgmt,87.55,Placed,300000
202,M,54.2,63,58,Comm&Mgmt,79,Not Placed,
203,M,70,63,66,Sci&Tech,61.28,Placed,240000
204,M,55.68,61.33,56.87,Comm&Mgmt,66,Placed,260000
205,F,74,73,73,Comm&Mgmt,80,Placed,210000
206,M,61,62,65,Comm&Mgmt,62,Placed,250000
207,M,41,42,60,Comm&Mgmt,97,Not Placed,
208,M,83.33,78,61,Comm&Mgmt,88.56,Placed,300000
209,F,43,60,65,Comm&Mgmt,92.66,Not Placed,
210,M,62,72,65,Comm&Mgmt,67,Placed,216000
211,M,80.6,82,77.6,Comm&Mgmt,91,Placed,400000
212,M,58,60,72,Sci&Tech,74,Placed,275000
213,M,67,67,73,Comm&Mgmt,59,Placed,295000
214,F,74,66,58,Comm&Mgmt,70,Placed,204000
215,M,62,58,53,Comm&Mgmt,89,Not Placed,
